Date,"Time
(UTC)","Decimal Time
(UTC)","Time
Seconds
(UTC)",Channel Name,"Ocean
Region","GES ID
(octal)","Channel
Unit ID",ChannelType,SU Type,BFO(Hz),BTO(us)
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:06:50.905,16.1141402777778,58010.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
