Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Wind
Speed
350 hPa
(knots)","Wind
Speed
300 hPa
(knots)","Wind
Speed
250 hPa
(knots)","Wind
Speed
200 hPa
(knots)","Wind
Speed
150 hPa
(knots)","Wind
From
350 hPa
(degT)","Wind
From
300 hPa
(degT)","Wind
From
250 hPa
(degT)","Wind
From
200 hPa
(degT)","Wind
From
150 hPa
(degT)"
-36,94,2019-03-09 00:00:00,86400,46.2038383304794,52.2417022377786,54.6151122034282,52.6953977921857,45.8063149839912,245.915136629033,236.073418731712,236.762407012371,250.161351487825,248.33404127671
-36,94,2019-06-28 03:00:00,97200,51.5562382863171,57.472746486364,60.4460628849657,55.0574865418648,45.9179519636477,244.304463878551,238.836839007882,239.889454552336,249.325575239126,251.488350045503
-36,95,2019-03-09 18:00:00,64800,50.8548505465935,52.1254867303134,53.061258090279,48.725788107088,49.7977146020625,243.434948822922,247.643108670706,250.303818300935,257.793493146441,246.53710484365
-36,95,2019-03-09 21:00:00,75600,46.7849086313461,49.1642811752947,51.4072452939048,49.7874700713699,45.4381706076585,244.925580658184,245.968507711317,247.31347332577,258.514583298241,250.247248075628
-36,95,2019-03-09 00:00:00,86400,48.0062691538309,52.2124012305312,53.9118182451219,54.0968814041822,48.3329809211262,245.095231191905,238.085059936232,239.922007459136,252.216111557307,248.284170404469
-36,95,2019-06-28 03:00:00,97200,53.0726505855384,59.6392905132223,61.0481685753647,57.0504284526219,48.2547405122063,245.781823115409,239.004216763876,241.884586846658,250.700740759583,251.929987512809
-36,96,2019-03-09 18:00:00,64800,53.6050143855857,54.8543134463448,56.3225377678957,51.9603122484168,52.6652730182957,246.037511025422,249.895467545269,252.940886180742,258.563958163566,247.884429004048
-36,96,2019-03-09 21:00:00,75600,50.8845619932509,53.0986305671298,55.2274238047109,51.8991918644486,47.9621717907975,245.393016252156,247.848042871616,248.310935035384,260.079039106828,250.096250462692
-36,96,2019-03-09 00:00:00,86400,50.0772975180792,51.7168585582002,53.3764973471567,55.2575193774263,50.3549529691555,244.230672375661,240.255118703058,243.155004245169,255.328249204098,248.486093804248
-36,96,2019-06-28 03:00:00,97200,54.4727520591231,59.0010440877808,58.8548477206003,58.4670811827401,49.9208634407854,247.553138526911,240.81705356947,243.942726779748,252.589156878285,252.552811576718
