Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Air
Temp
350 hPa
(°C)","Air
Temp
300 hPa
(°C)","Air
Temp
250 hPa
(°C)","Air
Temp
200 hPa
(°C)","Air
Temp
150 hPa
(°C)","∂SAT
350 hPa
26,632 ft
(°K)","∂SAT
300 hPa
30,066 ft
(°K)","∂SAT
250 hPa
34,000 ft
(°K)","∂SAT
200 hPa
38,632 ft
(°K)","∂SAT
150 hPa
44,321 ft
(°K)"
15,102,2019-03-09 18:00:00,64800,-22.55,-30.95,-42.25,-53.15,-66.25,15.2133184,13.6167592,10.1108,3.34952680000004,-9.75047319999996
15,102,2019-03-09 21:00:00,75600,-22.75,-31.15,-42.45,-53.55,-66.95,15.0133184,13.4167592,9.91079999999999,2.94952680000003,-10.4504732
15,102,2019-03-09 00:00:00,86400,-22.95,-31.65,-42.65,-53.85,-66.45,14.8133184,12.9167592,9.71080000000001,2.64952680000005,-9.95047319999998
15,102,2019-06-28 03:00:00,97200,-23.15,-31.75,-42.15,-54.25,-66.55,14.6133184,12.8167592,10.2108,2.24952680000004,-10.0504732
15,103,2019-03-09 18:00:00,64800,-22.95,-31.05,-41.85,-53.15,-66.45,14.8133184,13.5167592,10.5108,3.34952680000004,-9.95047319999998
15,103,2019-03-09 21:00:00,75600,-22.55,-30.95,-42.35,-53.35,-67.15,15.2133184,13.6167592,10.0108,3.14952680000005,-10.6504732
15,103,2019-03-09 00:00:00,86400,-22.85,-31.35,-42.75,-53.95,-66.65,14.9133184,13.2167592,9.61080000000001,2.54952680000002,-10.1504732
15,103,2019-06-28 03:00:00,97200,-22.95,-31.45,-42.55,-53.75,-66.25,14.8133184,13.1167592,9.8108,2.74952680000004,-9.75047319999996
15,104,2019-03-09 18:00:00,64800,-22.95,-31.15,-41.65,-53.35,-66.45,14.8133184,13.4167592,10.7108,3.14952680000005,-9.95047319999998
15,104,2019-03-09 21:00:00,75600,-22.95,-31.45,-42.25,-53.45,-67.05,14.8133184,13.1167592,10.1108,3.04952680000002,-10.5504732
15,104,2019-03-09 00:00:00,86400,-23.35,-31.25,-42.65,-53.85,-66.85,14.4133184,13.3167592,9.71080000000001,2.64952680000005,-10.3504732
15,104,2019-06-28 03:00:00,97200,-22.75,-31.25,-42.55,-53.55,-66.45,15.0133184,13.3167592,9.8108,2.94952680000003,-9.95047319999998
15,105,2019-03-09 18:00:00,64800,-23.35,-31.05,-41.65,-53.35,-66.55,14.4133184,13.5167592,10.7108,3.14952680000005,-10.0504732
15,105,2019-03-09 21:00:00,75600,-23.65,-31.65,-42.05,-53.45,-66.95,14.1133184,12.9167592,10.3108,3.04952680000002,-10.4504732
15,105,2019-03-09 00:00:00,86400,-23.25,-31.35,-42.35,-53.75,-67.05,14.5133184,13.2167592,10.0108,2.74952680000004,-10.5504732
15,105,2019-06-28 03:00:00,97200,-22.85,-31.35,-42.45,-53.75,-66.45,14.9133184,13.2167592,9.91079999999999,2.74952680000004,-9.95047319999998
14,80,2019-03-09 18:00:00,64800,-23.75,-31.15,-41.35,-53.15,-67.25,14.0133184,13.4167592,11.0108,3.34952680000004,-10.7504732
