time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,K4COD,33.104,-84.458,14.097149,-1,0,33,2452,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,K9AN,40.104,-88.125,14.097149,-8,0,33,2198,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,W9HLY,40.812,-84.958,14.097149,-8,0,33,2477,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,K4RCG,38.479,-78.042,14.097159,-9,1,33,3024,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,KC3BWN,39.062,-77.042,14.097152,-11,0,33,3115,,
2014-03-08 00:10:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097147,-11,0,33,3139,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.097149,8,0,33,1135,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097142,-2,1,33,1117,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,W4AC,26.521,-82.958,14.097171,-8,0,33,2749,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,W4MO,27.521,-82.958,14.097188,-12,0,33,2712,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097145,2,0,33,1274,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,K4EH,33.521,-84.958,14.097183,-12,0,33,2395,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,KB1MVX,33.521,-84.958,14.097143,-10,0,33,2395,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097147,-8,0,33,3139,,
2014-03-08 00:14:00,14,AA7FV,32.271,-110.708,WA3DNM,39.521,-74.958,14.097148,-9,0,33,3289,,
2014-03-08 00:40:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.09715,10,-1,33,1135,,
2014-03-08 00:40:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097142,7,0,33,1117,,
2014-03-08 00:40:00,14,AA7FV,32.271,-110.708,AD4PT,32.979,-97.125,14.097145,3,0,33,1274,,
2014-03-08 00:40:00,14,AA7FV,32.271,-110.708,K4EH,33.521,-84.958,14.097183,-3,0,33,2395,,
2014-03-08 00:40:00,14,AA7FV,32.271,-110.708,K4COD,33.104,-84.458,14.097149,4,0,33,2452,,
2014-03-08 00:40:00,14,AA7FV,32.271,-110.708,W3GXT,39.479,-76.792,14.097147,-2,0,33,3139,,
